dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat.relation;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;custom.cycle;custom.periodicity;custom.test-meta;datasetid
;;;;;;;;;;;;;;;;;Liste des traversées de voie par le public;"<p>Liste des traversées de voie par le public du Réseau Ferré National.</p><p>Les traversées sont signalées par un pictogramme (PI), avec de la signalétique (PP) ou par un autre équipement (AU).</p><p>Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.</p><p>Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes. Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.</p><p>Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).</p><p>Dernière
mise à jour : 28/03/2024<br></p>";Description du réseau;SNCF RESEAU,Traversée de voie par le public,Infrastructure,Géolocalisation;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;Europe/Paris;2020-05-26T16:34:07+00:00;True;True;2024-03-28T16:13:10+00:00;2025-09-19T01:10:21.520000+00:00;world;True;World;Point;"{""coordinates"": [[[8.182587465271354, 51.02926757186651], [-4.388232668861747, 51.02926757186651], [-4.388232668861747, 42.45814352296293], [8.182587465271354, 42.45814352296293], [8.182587465271354, 51.02926757186651]]], ""type"": ""Polygon""}";SNCF Réseau;;907;;;;;;;True;datasncf;;;Annuelle;;liste-des-traversees-de-voie-par-le-public
;;;;;;;;;;;;;;;;;Emprunts SNCF CCO du groupe SNCF Réseau depuis 2015;<p>Emprunts SNCF depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,Emprunt,Emprunts SNCF;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T09:57:44+00:00;True;True;2021-06-29T09:57:33+00:00;2025-09-19T01:13:10.558000+00:00;world_fr;True;France;;;SNCF Réseau;;72;;;;;;;True;datasncf;;;Annuelle;;emprunts-sncf-2017-cco
;;;;;;;;;;;;;;;;;Trésorerie équivalents trésorerie CCO du groupe SNCF Réseau depuis 2015;<p>Trésorerie équivalents trésorerie depuis 2015 issue du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,Trésorerie,Disponibilités;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T08:44:24+00:00;True;True;2021-06-29T09:50:10+00:00;2025-09-19T01:13:40.561000+00:00;world_fr;True;France;;;SNCF Réseau;;5;;;;;;;True;datasncf;;;Annuelle;;tresorerie-equivalents-tresorerie-2017-cco
;;;;;;;;;;;;;;;;;Dotations reprises CSO de SNCF Réseau depuis 2015;<p>Dotations reprises depuis 2015 issues du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes sociaux de l'EPIC SNCF RÉSEAU)</p>;Réseau;SNCF RESEAU,Comptes Sociaux,Dotations,Reprises;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:02:47+00:00;True;True;2021-07-01T15:40:52+00:00;2025-09-19T01:12:08.549000+00:00;world_fr;True;France;;;SNCF Réseau;;14;;;;;;;True;datasncf;;;Annuelle;;dotations-reprises-2017-cso
;;Direction cohésion & ressources humaines;;;;Annuelle;;Depuis 2010;;;;;;;;;Nombre de journées d’absence des agents SNCF;"<p>Nombre de journées d’absence des agents SNCF depuis 2010.</p><p><span style=""font-size: 14px;"">Ces données intègrent toutes les absences de courte et longue durée, y compris celles ayant débuté au cours de l’exercice précédent pour la part se prolongeant sur l’exercice en cours.</span> Ces données ne comptabilisent pas les congés annuels et congés de fin de carrière.</p><ul>
<li>""Collège"" : classification selon les collèges de représentation du personnel, à savoir “exécution”, “maîtrise” et “cadre”.</li><li>Le personnel roulant comprend les agents de conduite (« exécution roulants conduite ») et les chefs de bord (“exécution roulants trains »).</li></ul><p>Ces données sont issues du Bilan social publié chaque année par la Direction cohésion &amp; ressources humaines de SNCF. Le bilan social présente les données relatives à l’ensemble du personnel de l’entreprise à l’exception des médecins qui interviennent dans le cadre de la médecine du travail et de la médecine de soins des agents en activité, des stagiaires, des concierges et du personnel contractuel sous contrait aidé.</p><p>

</p><p><b>A partir de 2019, le type d’effectif prise en compte par
le Bilan Social a été modifié : les effectifs présentés sont les effectifs
totaux ( et non plus les effectifs « réels).</b></p><p>

<b></b><i></i><u></u><sub></sub><sup></sup><strike></strike><br/></p>";Social et ressources humaines;Social,Ressources humaines,Emploi,Direction Cohésion;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2024-11-04T15:05:15+00:00;False;True;2024-11-04T15:05:15+00:00;2024-11-04T15:05:15.851000+00:00;world_fr;True;France;;;SNCF;;594;;;;;;;False;;;;Annuelle;;journees-absence-agents
;;;;;;;;;;;;;;;;;Régime d'exploitation des lignes;<p>Liste des lignes du Réseau Ferré National par régime d’exploitation.</p><p>Les portions de ligne du réseau sont listées dans ce jeu de données par régime d’exploitation. </p><p>Une ligne du fichier correspond à une portion du réseau qui a le même régime d’exploitation. </p><p>Les régimes d’exploitation sont les suivants : Double voie (DV), Voie unique (VU), Voie banalisée (BANAL).</p><p>Exceptée la valeur « double voie », toutes les autres ne concernent que des régimes d’exploitation utilisées sur voie unique.</p><p>Les coordonnées géographiques sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS84 (EPSG:3857).</p><p>Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées.</p><p>Dernière mise à jour: 28/03/2024<br></p>;Réseau;SNCF RESEAU,Lignes,Infrastructure,Régime d'exploitation,Géolocalisation;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;Europe/Paris;2022-03-24T10:17:06+00:00;True;True;2024-03-28T17:20:55+00:00;2025-09-19T01:11:13.526000+00:00;world;True;World;LineString,MultiLineString;"{""coordinates"": [[[9.44911977276206, 51.05521815363318], [-4.479243038222194, 51.05521815363318], [-4.479243038222194, 41.927543906494975], [9.44911977276206, 41.927543906494975], [9.44911977276206, 51.05521815363318]]], ""type"": ""Polygon""}";SNCF Réseau;;1113;;;;;;;True;datasncf;;;Annuelle;;regime-dexploitation-des-lignes
;;;;;;;;;;;;;;;;;Liste des installations terminales embranchées;<p>Liste des installations terminales embranchées du Réseau Ferré National.</p><p>Ce jeu de donnée liste les installations terminales embranchées et localise leur point d’entrée.</p><p>Une Installation Terminale Embranchée est une voie ferrée desservant une entreprise, une usine, un dépôt, une zone industrielle ou portuaire à partir du réseau ferroviaire national afin de permettre le transport de marchandise sans rupture de charge.</p><p>Les éléments d’infrastructure sont localisés par projection sur la ligne correspondante. Les coordonnées GPS proposées sont celles de la projection de l’objet sur la ligne. De ce fait, il peut y avoir un écart avec la géolocalisation de l’objet.</p><p>Quand un objet est projeté sur une ligne qui n’est plus exploitée, la traduction de la localisation n’est pas possible.</p><p>Ces objets sont localisés par leur point d’entrée sur le réseau. Ils peuvent être de ce fait localisés soit directement sur une ligne, soit sur un autre objet (lui-même localisé sur une ligne).</p><p>Lorsqu’un élément se trouve à proximité de plusieurs lignes, il est projeté sur les différentes lignes.</p><p>Les coordonnées sont exprimées en Lambert 93 et en WGS84 (EPSG:3857).</p><p>date de mise à jour le 28/03/2024</p>;Description du réseau;SNCF RESEAU,Installations terminales embranchées,Infrastructure,Géolocalisation;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;Europe/Paris;2020-05-26T16:33:40+00:00;True;True;2024-03-28T15:08:15+00:00;2025-09-19T01:10:00.526000+00:00;world;True;World;Point;"{""coordinates"": [[[7.975187581032515, 51.03914505802095], [-4.401350012049079, 51.03914505802095], [-4.401350012049079, 42.52281036693603], [7.975187581032515, 42.52281036693603], [7.975187581032515, 51.03914505802095]]], ""type"": ""Polygon""}";SNCF Réseau;;1807;;;;;;;True;datasncf;;;Annuelle;;liste-des-installations-terminales-embranchees
2024-10-10;2024-11-07;;;;;;;;;;;;;;;;Stationnement vélo sécurisé en gare;"<p><span style=""color: rgb(51, 51, 51); font-family: Avenir, Helvetica, Arial, sans-serif;"">Le jeu de données précise le nombre de stationnements vélos sécurisés par gare et les objectifs d'installations demandés par le décret relatif aux stationnements sécurisé (loi LOM). 1075 gares SNCF Gares &amp; Connexions sont concernées par ce décret.</span></p><p><font color=""#333333"" face=""Avenir, Helvetica, Arial, sans-serif"">Les données affichées sont les suivantes :</font></p><p><b>- Code gare : </b><span style=""font-size: 0.875rem;"">Clé permettant d’identifiant fonctionnel de la gare</span></p><p><span style=""font-size: 0.875rem;""><b>- Nom de la gare :</b> </span><span style=""font-size: 0.875rem;"">Nom de la gare (libellé noté dans le décret, peut être différent de celui du jeu de données des gares publié par SNCF Gares et Connexions)</span></p><p><span style=""font-size: 0.875rem;""><b>- Région: </b></span>Région administrative de la gare</p><p><b>- Gare LOM / HORS LOM :</b> Gare concernée par une installation des stationnements vélos sécurisés demandée par le décret de la loi LOM. 2 valeurs : LOM / Hors LOM</p><p><b>- Objectif décret LOM : </b>Objectif de nombre de places de stationnement sécurisées à installer au regard du décret d'application de la loi LOM</p><p>-<b> Nombre de places sécurisées existantes au 30.06.24</b> : Nombre de places sécurisées installées à date.</p><p>-<span style=""font-weight: bolder;""> Nombre de places sécurisées existantes au 30.12.24</span> : Nombre de places sécurisées installées à date.</p><p><span style=""color: rgb(51, 51, 51); font-family: Avenir, Helvetica, Arial, sans-serif;""><br></span></p>";;vélo,stationnement;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2025-05-02T08:22:21+00:00;True;False;2025-04-01T09:47:22+00:00;2025-05-02T08:22:25.462000+00:00;;False;;;;Gares & Connexions;;2928;;;;;;;False;;;;;;stationnement-securise-velo-en-gare-au-30-06-24
;;;;;;;;;;;;;;;;;Archives SNCF - OPEN ARCHIVES;"<p>Liste des archives SNCF disponibles sous un format numérique. </p><p>Cette base de données recense des archives historiques numérisées issues de toutes les périodes de l’histoire de la SNCF depuis la création du chemin de fer en France. Différents types de documents média (JPG, WAV, PDF, ou .MP4) sont proposés au téléchargement. Leur utilisation est soumise au respect des <a href=""http://sncfopenarchives.minit-l.com/node/5000"">CGU du site sncf.com</a></p>";Archives et documentation;Voyageurs,Histoire,Gare de voyageurs,Archives;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2023-07-06T12:27:29+00:00;False;True;2023-07-06T12:27:29+00:00;2023-10-09T16:26:43.081000+00:00;world;True;World;Point;"{""coordinates"": [[[38.99681498296559, 62.27864747866988], [-4.486076049506664, 62.27864747866988], [-4.486076049506664, 34.80207498650998], [38.99681498296559, 34.80207498650998], [38.99681498296559, 62.27864747866988]]], ""type"": ""Polygon""}";SNCF;;2586;;;;;;;False;;;;Irrégulière;;archives-sncf-new
;;;;;;;;;;;;;;;;;Répartition du chiffre d'affaires (en milliards d'euros) du groupe SNCF par métier en 2015;<p>Source du chiffre d'affaire 2015 (en milliards d'euros).</p><p>NB : les normes comptables appliquées ici sont les normes françaises avant 2007 et IFRS ensuite</p>;Informations institutionnelles et financières;Chiffre d'affaire,SNCF;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-05-17T08:16:32+00:00;False;True;2017-05-17T08:16:32+00:00;2021-03-31T08:26:22.112000+00:00;world_fr;True;France;;;SNCF;;5;;;;;;;False;;;;;;source-ca-2015
;;;;;;;;;;;;;;;;;Lignes par type;<p>Liste des lignes du Réseau Ferré National, par type, quelque soit son statut d’exploitation.</p><p>Les types de ligne sont les suivants : ligne, raccordement, voie mère d'embranchement, voie de desserte de port.</p><p>Les coordonnées sont une conversion des coordonnées ferroviaires en Lambert 93 et en WGS 84 (EPSG:3857).</p><p>Dans certains cas, la transformation de la localisation ferroviaire en coordonnées géographiques n’est pas possible : ces coordonnées n’ont pas été collectées pour les lignes qui ne sont plus exploitées.</p><p>date de mise à jour 28/03/2024</p>;Description du réseau;SNCF RESEAU,Lignes,Infrastructure,Type de ligne,Géolocalisation;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;Europe/Paris;2020-05-26T16:33:28+00:00;True;True;2024-03-28T14:09:17+00:00;2025-09-19T01:11:22.528000+00:00;world;True;World;LineString,MultiLineString;"{""coordinates"": [[[9.44911977276206, 51.076054936274886], [-4.479243038222194, 51.076054936274886], [-4.479243038222194, 41.927543906494975], [9.44911977276206, 41.927543906494975], [9.44911977276206, 51.076054936274886]]], ""type"": ""Polygon""}";SNCF Réseau;;1043;;;;;;;True;datasncf;;;Annuelle;;lignes-par-type
;;;;;;;;;;;;;;;;;Avantages au personnel CCO du groupe SNCF Réseau depuis 2015;<p>Avantages au personnel depuis 2015 issus du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,avantages,personnel,avantages au personnel;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:33:00+00:00;True;True;2021-07-01T13:29:20+00:00;2025-09-19T01:13:56.565000+00:00;world_fr;True;France;;;SNCF Réseau;;13;;;;;;;True;datasncf;;;Annuelle;;avantages-au-personnel-2017-cco
;;;;;;;;;;;;;;;;;Domain Dataset;<p>Jeu de données reprenant l'ensemble des infos sur les jeux de données de la plateforme</p>;Informations institutionnelles;;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2025-09-19T03:12:08+00:00;False;True;2025-09-19T03:12:08+00:00;2025-09-19T03:12:08.328000+00:00;world_fr;True;France;;;;;454;;;;;;;False;;;;Irrégulière;;domain-dataset
;;;;;;;;;;;;;;;;;Échéancier subventions CCO du groupe SNCF Réseau depuis 2015;<p>Échéancier subventions depuis 2015 issu du Rapport Financier du groupe SNCF Réseau au 31 décembre de chaque année (Comptes consolidés incluant l'EPIC SNCF RESEAU et ses filiales)</p>;Réseau;SNCF RESEAU,Comptes Consolidés,Subventions,Echéancier subventions;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-24T10:32:09+00:00;True;True;2021-06-29T09:32:10+00:00;2025-09-19T01:12:54.549000+00:00;world_fr;True;France;;;SNCF Réseau;;6;;;;;;;True;datasncf;;;Annuelle;;echeancier-subventions-2017-cco
;;;;;;;;;;;;;;;;;SIRI SX LITE et GTFS RT Service Alerts - informations en temps réel sur les trains;"<p>Ce jeu de données, en temps réel, vous permettra d'accéder, sous le format SIRI SX Lite et GTFS-RT SA, au flux des messages d'incidents affectés aux circulations TGV, Intercités et TER. <br></p><p>Les informations sont fournies toutes <b>les 2 minutes</b>, disponibles dans les liens suivants : </p>

<ul type=""disc""><li class=""MsoNormal"" style=""color:#333333;mso-margin-top-alt:auto;margin-bottom:
     12.0pt;line-height:normal;mso-list:l0 level1 lfo1;tab-stops:list 36.0pt""><span style='font-size:10.5pt;font-family:""Helvetica"",sans-serif;mso-fareast-font-family:
     ""Times New Roman"";mso-font-kerning:0pt;mso-ligatures:none;mso-fareast-language:
     FR'>pour le GTFS-RT SA : </span><span style='font-family:""Arial"",sans-serif;
     color:windowtext'><a href=""https://urldefense.com/v3/__https:/proxy.transport.data.gouv.fr/resource/sncf-gtfs-rt-service-alerts__;!!Nto2ANp9CeU!D4EJstOLCezrySzCn5Y0pKm5xy-YprlZs-MhgkogSgMCm2AyiX1-vIrFd-SSH55o7M81bdPagoFR2G6I-d9e5tv43qhYWwVieIYOMo_Bp0I4t3rnJnyqXVPahbWpiYGpPHJn-sQ$"" target=""_blank"">https://proxy.transport.data.gouv.fr/resource/sncf-gtfs-rt-service-alerts</a></span><span style='font-size:10.5pt;font-family:""Helvetica"",sans-serif;mso-fareast-font-family:
     ""Times New Roman"";mso-font-kerning:0pt;mso-ligatures:none;mso-fareast-language:
     FR'></span></li><li class=""MsoNormal"" style=""color:#333333;mso-margin-top-alt:auto;margin-bottom:
     12.0pt;line-height:normal;mso-list:l0 level1 lfo1;tab-stops:list 36.0pt""><span style='font-size:10.5pt;font-family:""Helvetica"",sans-serif;mso-fareast-font-family:
     ""Times New Roman"";mso-font-kerning:0pt;mso-ligatures:none;mso-fareast-language:
     FR'>pour le SIRI SX LITE : <a href=""https://proxy.transport.data.gouv.fr/resource/sncf-siri-lite-situation-exchange"" target=""_blank"">https://proxy.transport.data.gouv.fr/resource/sncf-siri-lite-situation-exchange</a></span></li></ul>

<p><span style=""font-family: inherit;"">Ce lien est repris dans les jeux de données horaires TGV, TER et Intercités.<br></span></p><p>Pour faire le lien avec les fichiers statiques (GTFS et NeTEx) et dynamiques (GTFS-RT TripUpdates), l'identifiant commun des circulations est le numéro commercial du train, que vous trouverez dans &lt;VehiculeJourneyRef&gt; dans le SIRI SX et dans &lt;trip&gt; pour le GTFS-RT SA.<br></p><p>Il s'agit d'une première publication de ce flux, nous vous remercions de vos futurs retours et contributions.</p><p>Précisions concernant le flux :</p><ul><li>périmètre : circulations actives ou à venir sur les périmètres TER, Intercités et TGV, et incluant OUIGO<br></li><li>fréquence de mise à jour : 2 minutes</li><li>non inclus dans le périmètre : Transilien, autres circulations opérées par le groupe SNCF (notamment Thalys et Eurostar)<br></li></ul><p>Pour toute précision, merci d'adresser un mail directement à <a href=""mailto:data_office_secretariat_general_sa_voyageurs@sncf.fr"">data_office_secretariat_general_sa_voyageurs@sncf.fr</a>.<br></p><p><br></p>";Systèmes d'information,Services voyageurs;Temps réel,information voyageurs,TGV,Intercités,Ouigo,TER,SIRI LITE;Open Database License (ODbL);https://data.sncf.com/pages/cgu/A1#A1;fr;fr;;2025-08-20T04:30:05+00:00;True;False;;2025-09-19T04:30:14.257000+00:00;;False;;;;SNCF Voyageurs;;0;;;;;;;True;datasncf;;;Minute;;temps-reel-siri-sx-lite
2016-03-01;2016-03-03;;;;;Annuelle ;;Depuis 2012;Par métiers SNCF;;;;;;;;Effectifs SNCF par métiers;"<p>Effectifs réels moyen SNCF classés par métiers depuis 2012.</p><p>Ce jeu de données intègre les salariés au statut (dit ""statut du cadre permanent"") et les salariés sous contrat (CDI). </p><p>

</p><p><b>A partir de 2019, le type d’effectif prise en compte par
le Bilan Social a été modifié : les effectifs présentés sont les effectifs
totaux ( et non plus les effectifs « réels).</b></p><p>

<b></b><i></i><u></u><sub></sub><sup></sup><strike></strike><br/></p>";Social et ressources humaines;Ressources humaines,Effectifs,Salariés,Direction Cohésion;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2024-11-12T14:12:43+00:00;False;True;2024-11-12T14:12:43+00:00;2024-11-12T14:12:43.318000+00:00;world_fr;True;France;;;SNCF;;224;;;;;;;False;;;;Annuelle;;effectif-metiers-sncf
;;;;;;;;;;;;;;;;;Horaires des gares;"<p>Ce jeu de données contient les horaires d'ouverture au public des gares de voyageurs en France.</p><p>Chaque gare est identifiée dans la colonne ""UIC"" par son code UIC (identifiant unique).</p><p> Les horaires sont mentionnés pour chaque jour de la semaine dans la colonne ""Horaire en jour normal"". </p><p>Si, pour certains jours, les horaires varient dans le cas d'un jour férié mais que la gare reste ouverte, ses horaires sont renseignés dans la colonne ""Horaire en jour férié"". </p>";Gares,Horaires et itinéraires;Gares,Gares de voyageurs,Gare de voyageurs,Horaires,Horaire;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2024-03-15T13:04:58+00:00;False;False;2024-03-15T13:04:53+00:00;2024-03-15T13:05:04.004000+00:00;world_fr;True;France;;;Gares & Connexions;https://www.gares-sncf.com/fr;6517;;;;;;;False;;;;Irrégulière;;horaires-des-gares1
2015-02-17;2015-02-17;;;;;Mensuelle;;Depuis 2015;Par accompagnement;;;;;;;;Accompagnement de personnes à mobilité réduite dans les gares;<p>Ces données fournissent le nombre d'accompagnements de personnes à mobilité réduite dans les gares depuis 2015.</p>;Gares,Services voyageurs;Accessibilité,Gare de voyageurs;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2022-03-23T10:13:39+00:00;False;True;2022-03-23T10:13:39+00:00;2022-03-23T10:13:39.570000+00:00;world_fr;True;France;;;Gares & Connexions;;51861;;;;;;;False;;;;Mensuelle;;accompagnement-pmr-gares
2016-03-01;;;;;;Annuelle ;;;;;;;;;;;Rémunération annuelle brute des agents SNCF par métier;<p>Niveau de rémunération annuelle brute des agents SNCF par métier en début, milieu et fin de carrière. Valeurs calculée en 2016.</p><p><br/></p>;Social et ressources humaines;Rémunérations,Emploi,Ressources humaines,Social,Direction Cohésion;Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2017-05-19T13:57:42+00:00;False;True;2017-05-19T13:57:42+00:00;2021-03-30T13:25:41.482000+00:00;world_fr;True;France;;;SNCF;;15;;;;;;;False;;;;;;remuneration-2012-2015
;2024-02-21;SNCF Gares&Connexions;SNCF Gares&Connexions;;;daily;;;;;;;;;;;Gares de voyageurs;"<i><b>Une gare</b> est un ensemble de biens fonciers, pour lequel SNCF G&amp;C est affectataire en droit réel de la propriété de l'Etat ou d'un propriétaire tiers, ayant servi, servant ou qui servira à l'interface entre la ville et le train.</i><p></p>

<p class=""MsoNormal"" style=""margin-bottom:0cm;line-height:normal""><span style='font-family:""Calibri"",sans-serif;mso-fareast-font-family:""Times New Roman"";
mso-fareast-language:FR'>Ce jeu de données représente l'ensemble des gares
répondant à la définition ci-dessus.</span></p><p class=""MsoNormal"" style=""margin-bottom:0cm;line-height:normal""><span style='font-family:""Calibri"",sans-serif;mso-fareast-font-family:""Times New Roman"";
mso-fareast-language:FR'><br></span></p><p class=""MsoNormal"" style=""margin-bottom:0cm;line-height:normal""><span style='font-family:""Calibri"",sans-serif;mso-fareast-font-family:""Times New Roman"";
mso-fareast-language:FR'>Les données affichées sont les suivantes :</span></p><ul><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><span style=""font-size: 14px;""><b>Nom </b>: Nom de la gare</span></font></li><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><span style=""font-size: 14px;""><b>Trigramme</b> : Codification de la gare, chaque gare possède un trigramme unique</span></font></li><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><span style=""font-size: 14px;""><b>Segment(s) DRG</b> : segment(s) de la gare associé au document de référence des gares</span></font></li><li><font face=""Calibri, sans-serif""><b>Position géographique</b> : coordonnées géographiques de la gare</font></li><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><b>Code Commune</b> : Le code INSEE de chaque commune est constitué de 5 chiffres, les 2 premiers sont le numéro du département (codé sur 2 chiffres) et les 3 autres chiffres sont un code donné à la commune (codée sur 3 chiffres).</font></li><li style=""margin-bottom: 0cm; line-height: normal;""><font face=""Calibri, sans-serif""><b>Codes(s)
UIC</b> : liste des codes UIC rattachés à la gare <br></font></li></ul><div><font face=""Calibri, sans-serif""><br></font></div>";Gares;Gare de voyageurs,Gares de voyageurs,Gares,gare,Géolocalisation,Code UIC;Open Data Commons Open Database License (ODbL);https://data.sncf.com/pages/licence;fr;fr;;2025-09-18T09:43:06+00:00;False;True;2025-09-18T09:43:06+00:00;2025-09-18T09:43:06.368000+00:00;world_fr;False;France;Point;"{""coordinates"": [[[8.182681677863002, 51.030469997785985], [-4.478903068229556, 51.030469997785985], [-4.478903068229556, 42.432406889274716], [8.182681677863002, 42.432406889274716], [8.182681677863002, 51.030469997785985]]], ""type"": ""Polygon""}";Gares & Connexions;;2769;;;;;;;False;;;;Quotidienne;;gares-de-voyageurs
